id,scenario,month,value,success
1 , 1 , 1 , 50.5 , 1.0
2 , 2 , 2 , 51.0 , 1.0
3 , 1 , 3 , 51.5 , 1.0
4 , 2 , 4 , 52.0 , 1.0
5 , 1 , 5 , 52.5 , 1.0
6 , 2 , 6 , 53.0 , 1.0
7 , 1 , 7 , 53.5 , 1.0
8 , 2 , 8 , 54.0 , 1.0
9 , 1 , 9 , 54.5 , 1.0
10 , 2 , 10 , 55.0 , 1.0
11 , 1 , 11 , 55.5 , 1.0
12 , 2 , 12 , 56.0 , 1.0
13 , 1 , 1 , 56.5 , 1.0
14 , 2 , 2 , 57.0 , 1.0
15 , 1 , 3 , 57.5 , 1.0
16 , 2 , 4 , 58.0 , 1.0
17 , 1 , 5 , 58.5 , 1.0
18 , 2 , 6 , 59.0 , 1.0
19 , 1 , 7 , 59.5 , 1.0
20 , 2 , 8 , 60.0 , 1.0
21 , 1 , 9 , 60.5 , 1.0
22 , 2 , 10 , 61.0 , 1.0
23 , 1 , 11 , 61.5 , 1.0
24 , 2 , 12 , 62.0 , 1.0
25 , 1 , 1 , 62.5 , 1.0
26 , 2 , 2 , 63.0 , 1.0
27 , 1 , 3 , 63.5 , 1.0
28 , 2 , 4 , 64.0 , 1.0
29 , 1 , 5 , 64.5 , 1.0
30 , 2 , 6 , 65.0 , 1.0
31 , 1 , 7 , 65.5 , 1.0
32 , 2 , 8 , 66.0 , 1.0
33 , 1 , 9 , 66.5 , 1.0
34 , 2 , 10 , 67.0 , 1.0
35 , 1 , 11 , 67.5 , 1.0
36 , 2 , 12 , 68.0 , 1.0
37 , 1 , 1 , 68.5 , 1.0
38 , 2 , 2 , 69.0 , 1.0
39 , 1 , 3 , 69.5 , 1.0
40 , 2 , 4 , 70.0 , 1.0
41 , 1 , 5 , 70.5 , 1.0
42 , 2 , 6 , 71.0 , 1.0
43 , 1 , 7 , 71.5 , 1.0
44 , 2 , 8 , 72.0 , 1.0
45 , 1 , 9 , 72.5 , 1.0
46 , 2 , 10 , 73.0 , 1.0
47 , 1 , 11 , 73.5 , 1.0
48 , 2 , 12 , 74.0 , 1.0
49 , 1 , 1 , 74.5 , 1.0
50 , 2 , 2 , 75.0 , 0.0
51 , 1 , 3 , 75.5 , 1.0
52 , 2 , 4 , 76.0 , 0.0
53 , 1 , 5 , 76.5 , 1.0
54 , 2 , 6 , 77.0 , 0.0
55 , 1 , 7 , 77.5 , 1.0
56 , 2 , 8 , 78.0 , 0.0
57 , 1 , 9 , 78.5 , 1.0
58 , 2 , 10 , 79.0 , 0.0
59 , 1 , 11 , 79.5 , 1.0
60 , 2 , 12 , 80.0 , 0.0
61 , 1 , 1 , 80.5 , 1.0
62 , 2 , 2 , 81.0 , 0.0
63 , 1 , 3 , 81.5 , 1.0
64 , 2 , 4 , 82.0 , 0.0
65 , 1 , 5 , 82.5 , 1.0
66 , 2 , 6 , 83.0 , 0.0
67 , 1 , 7 , 83.5 , 1.0
68 , 2 , 8 , 84.0 , 0.0
69 , 1 , 9 , 84.5 , 1.0
70 , 2 , 10 , 85.0 , 0.0
71 , 1 , 11 , 85.5 , 1.0
72 , 2 , 12 , 86.0 , 0.0
73 , 1 , 1 , 86.5 , 1.0
74 , 2 , 2 , 87.0 , 0.0
75 , 1 , 3 , 87.5 , 1.0
76 , 2 , 4 , 88.0 , 0.0
77 , 1 , 5 , 88.5 , 1.0
78 , 2 , 6 , 89.0 , 0.0
79 , 1 , 7 , 89.5 , 1.0
80 , 2 , 8 , 90.0 , 0.0
81 , 1 , 9 , 90.5 , 1.0
82 , 2 , 10 , 91.0 , 0.0
83 , 1 , 11 , 91.5 , 1.0
84 , 2 , 12 , 92.0 , 0.0
85 , 1 , 1 , 92.5 , 1.0
86 , 2 , 2 , 93.0 , 0.0
87 , 1 , 3 , 93.5 , 1.0
88 , 2 , 4 , 94.0 , 0.0
89 , 1 , 5 , 94.5 , 1.0
90 , 2 , 6 , 95.0 , 0.0
91 , 1 , 7 , 95.5 , 1.0
92 , 2 , 8 , 96.0 , 0.0
93 , 1 , 9 , 96.5 , 1.0
94 , 2 , 10 , 97.0 , 0.0
95 , 1 , 11 , 97.5 , 1.0
96 , 2 , 12 , 98.0 , 0.0
97 , 1 , 1 , 98.5 , 1.0
98 , 2 , 2 , 99.0 , 0.0
99 , 1 , 3 , 99.5 , 1.0
100 , 2 , 4 , 100.0 , 0.0
